State,City,Location,Station Code,Type,Category of ES,No. of mon. days (n),Min,Max,PM10 Annual average (µg/m3),10 percentile,90 percentile,Standard Deviation,Percentage- exceedence(24 hourly),Air Quality
Uttar Pradesh,Ghaziabad,"Atlas Cycles Industries, Sahibabad Ind. area",258,RIRuO,NA,103,80,534,251,129,376,96,99,Critical
Uttar Pradesh,Ghaziabad,Bulandshaar Road Industrial Area,369,RIRuO,NA,99,92,536,244,139,381,94,99,Critical
Uttar Pradesh,Jhansi,Manik Chawk / Jal chauraha,517,RIRuO,NA,110,53,207,123,74,146,30,75,Critical
Uttar Pradesh,Jhansi,Veeranga Nagar,518,RIRuO,NA,110,39,165,96,55,120,26,62,Critical
Uttar Pradesh,Kanpur,"Forest & Training Centre, Kidwai Nagar",212,RIRuO,NA,81,156,334,203,181,225,24,100,Critical
Uttar Pradesh,Kanpur,Chamber Of Commerce Darshanpurwa,98,RIRuO,NA,76,176,274,211,192,234,17,100,Critical
Uttar Pradesh,Kanpur,"Associated Chem Pvt Ltd, Fazalganj, Panki, Site-5",86,RIRuO,NA,79,166,256,214,189,237,18,10,Critical
Uttar Pradesh,Kanpur,Dabauli / Shastri NGR,391,RIRuO,NA,64,149,243,203,182,226,19,100,Critical
Uttar Pradesh,Kanpur,Jajmau / Awas Vikas,395,RIRuO,NA,68,127,296,199,169,226,25,100,Critical
Uttar Pradesh,Kanpur,"I.I.T. Campus, Kanpur",721,RIRuO,NA,101,23,344,139,35,253,85,63,Critical
Uttar Pradesh,Kanpur,"Dada Nagar, Kanpur",722,RIRuO,NA,78,51,547,288,168,447,108,96,Critical
Uttar Pradesh,Kanpur,"Ramadevi, Kanpur",723,RIRuO,NA,94,46,600,260,68,439,138,81,Critical
Uttar Pradesh,Khurja,Central Glass & Ceramic Research Institute,534,RIRuO,NA,84,173,183,178,176,181,2,100,Critical
Uttar Pradesh,Khurja,Ahirpara,535,RIRuO,NA,83,152,165,158,154,162,3,100,Critical
Uttar Pradesh,Lucknow,Mahanagar,377,RIRuO,NA,107,113,398,208,152,265,63,100,Critical
Uttar Pradesh,Lucknow,"Chandganj Garden, Aliganj",398,RIRuO,NA,108,142,396,208,152,266,60,100,Critical
Uttar Pradesh,Lucknow,"Kapoor Hotel, Hazratganj",109,RIRuO,NA,105,32,390,205,148,254,65,99,Critical
Uttar Pradesh,Lucknow,Talkatora,113,RIRuO,NA,105,156,428,218,169,263,56,100,Critical
Uttar Pradesh,Lucknow,Aminabad / S.M.K Chowk,397,RIRuO,NA,108,141,399,215,159,275,61,100,Critical
Uttar Pradesh,Meerut,Begum Bridge,550,RIRuO,NA,64,121,136,129,125,134,3,100,Critical
